# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Galaxias morwell	1115	45.93496	4.37890	0.00982	0.97967	0.00554	0.00035	0.00786	0.00533	0.00034	0.99214	0.00533	0.00034	0.02876	0.00991	0.00047	0.97124	0.00991	0.00047	0.02909	0.01013	0.00047	0.05897	0.06399	0.00982
Galaxias terenasus	6761	5.36388	0.23148	0.00244	0.96059	0.00690	0.00042	0.01454	0.00805	0.00046	0.98546	0.00805	0.00046	0.06191	0.01516	0.00063	0.93809	0.01516	0.00063	0.06790	0.01828	0.00069	0.17143	0.14908	0.00244
Galaxias mungadhan	4382	197.96615	96.02129	0.04538	0.98150	0.00513	0.00033	0.01494	0.00522	0.00033	0.98506	0.00522	0.00033	0.02606	0.00824	0.00042	0.97394	0.00824	0.00042	0.02613	0.00828	0.00042	0.04578	0.03417	0.04538
Galaxias aequipinnis	1866	56.60803	6.89111	0.01225	0.99230	0.00278	0.00025	0.00984	0.00669	0.00038	0.99016	0.00669	0.00038	0.00973	0.00386	0.00029	0.99027	0.00386	0.00029	0.00982	0.00393	0.00029	0.00118	0.01115	0.01225
Galaxias mcdowalli	2305	30.21102	2.28095	0.00711	0.99222	0.00273	0.00025	0.01273	0.00787	0.00042	0.98727	0.00787	0.00042	0.00997	0.00378	0.00029	0.99003	0.00378	0.00029	0.01014	0.00392	0.00029	-0.00478	0.00601	0.00711
Galaxias gunaikurnai	1243	23.48494	1.09672	0.00491	0.98860	0.00376	0.00029	0.01668	0.00880	0.00044	0.98332	0.00880	0.00044	0.01502	0.00558	0.00035	0.98498	0.00558	0.00035	0.01535	0.00583	0.00036	-0.00178	0.00717	0.00491
Galaxias lanceolatus	830	30.21367	2.23806	0.00694	0.98912	0.00361	0.00028	0.01096	0.00662	0.00038	0.98904	0.00662	0.00038	0.01431	0.00544	0.00034	0.98569	0.00544	0.00034	0.01456	0.00563	0.00035	0.01084	0.01848	0.00694
Galaxias yalmy	2774	13.76584	0.30125	0.00260	0.99555	0.00186	0.00020	0.00823	0.00672	0.00039	0.99177	0.00672	0.00039	0.00514	0.00221	0.00022	0.99486	0.00221	0.00022	0.00534	0.00239	0.00023	-0.00556	0.00532	0.00260
Galaxias longifundus	386	31.36275	1.87934	0.00620	0.99363	0.00253	0.00023	0.01105	0.00830	0.00041	0.98895	0.00830	0.00041	0.00760	0.00318	0.00025	0.99240	0.00318	0.00025	0.00773	0.00328	0.00026	-0.00630	0.00712	0.00620
Galaxias moroka	1772	19.60509	0.83849	0.00415	0.99263	0.00257	0.00023	0.01164	0.00718	0.00038	0.98836	0.00718	0.00038	0.00949	0.00356	0.00027	0.99051	0.00356	0.00027	0.00975	0.00376	0.00028	-0.00315	0.00625	0.00415
Galaxias olidus Timbarra	1365	32.26891	2.18418	0.00679	0.97345	0.00799	0.00041	0.02063	0.00732	0.00039	0.97937	0.00732	0.00039	0.03571	0.01246	0.00051	0.96429	0.01246	0.00051	0.03628	0.01286	0.00052	0.04221	0.03590	0.00679
Galaxias cann	2666	5.89505	0.09394	0.00146	0.99276	0.00281	0.00025	0.01186	0.00916	0.00046	0.98814	0.00916	0.00046	0.00875	0.00362	0.00029	0.99125	0.00362	0.00029	0.00960	0.00435	0.00032	-0.00361	0.00839	0.00146
Galaxias olidus Avon	1000	7.89360	0.09508	0.00142	0.99426	0.00218	0.00021	0.01020	0.00742	0.00040	0.98980	0.00742	0.00040	0.00704	0.00276	0.00024	0.99296	0.00276	0.00024	0.00754	0.00316	0.00026	-0.00488	0.00536	0.00142
Galaxias olidus Buckwong	1769	10.74479	0.32328	0.00256	0.96916	0.00919	0.00043	0.04368	0.01901	0.00062	0.95632	0.01901	0.00062	0.04141	0.01437	0.00054	0.95859	0.01437	0.00054	0.04348	0.01584	0.00057	0.00085	0.01414	0.00256
Galaxias olidus wworth	6765	14.51256	0.78399	0.00401	0.95238	0.01046	0.00046	0.06646	0.01950	0.00063	0.93354	0.01950	0.00063	0.06978	0.01781	0.00060	0.93022	0.01781	0.00060	0.07232	0.01914	0.00063	0.02011	0.02939	0.00401
Galaxias olidus Tambo	759	5.84960	0.12778	0.00164	0.97444	0.00738	0.00039	0.03505	0.01544	0.00057	0.96495	0.01544	0.00057	0.03506	0.01176	0.00050	0.96494	0.01176	0.00050	0.03847	0.01416	0.00054	0.00809	0.01820	0.00164
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Galaxias morwell	1115	968489	45385	4086	0.42189	45.58589	5.96081	0.00248	0.99905	0.00028	0.00002	0.00037	0.00025	0.00002	0.99963	0.00025	0.00002	0.00135	0.00050	0.00002	0.99865	0.00050	0.00002	0.00136	0.00051	0.00002	0.00276	0.00315	0.00248
Galaxias terenasus	6761	932894	38777	8205	0.87952	5.27176	0.19827	0.00046	0.99836	0.00035	0.00002	0.00060	0.00034	0.00002	0.99940	0.00034	0.00002	0.00257	0.00078	0.00003	0.99743	0.00078	0.00003	0.00282	0.00094	0.00003	0.00713	0.00737	0.00046
Galaxias mungadhan	4382	977964	46622	7692	0.78653	196.94999	113.15469	0.01076	0.99912	0.00026	0.00002	0.00071	0.00026	0.00002	0.99929	0.00026	0.00002	0.00124	0.00042	0.00002	0.99876	0.00042	0.00002	0.00125	0.00043	0.00002	0.00218	0.00172	0.01076
Galaxias aequipinnis	1866	1023083	45925	1748	0.17086	56.25504	8.73318	0.00292	0.99965	0.00013	0.00001	0.00044	0.00030	0.00002	0.99956	0.00030	0.00002	0.00044	0.00018	0.00001	0.99956	0.00018	0.00001	0.00044	0.00018	0.00001	0.00005	0.00050	0.00292
Galaxias mcdowalli	2305	1024484	45153	1810	0.17667	30.01404	2.87197	0.00167	0.99966	0.00012	0.00001	0.00056	0.00035	0.00002	0.99944	0.00035	0.00002	0.00044	0.00017	0.00001	0.99956	0.00017	0.00001	0.00045	0.00018	0.00001	-0.00021	0.00027	0.00167
Galaxias gunaikurnai	1243	988315	45579	2442	0.24709	23.35855	1.36858	0.00118	0.99947	0.00018	0.00001	0.00077	0.00042	0.00002	0.99923	0.00042	0.00002	0.00069	0.00027	0.00002	0.99931	0.00027	0.00002	0.00071	0.00028	0.00002	-0.00008	0.00033	0.00118
Galaxias lanceolatus	830	1019547	46432	2308	0.22638	30.01766	2.82351	0.00166	0.99950	0.00017	0.00001	0.00050	0.00031	0.00002	0.99950	0.00031	0.00002	0.00065	0.00026	0.00002	0.99935	0.00026	0.00002	0.00066	0.00027	0.00002	0.00049	0.00085	0.00166
Galaxias yalmy	2774	1039531	44701	705	0.06782	13.69534	0.38973	0.00061	0.99981	0.00008	0.00001	0.00035	0.00029	0.00002	0.99965	0.00029	0.00002	0.00022	0.00010	0.00001	0.99978	0.00010	0.00001	0.00023	0.00010	0.00001	-0.00024	0.00023	0.00061
Galaxias longifundus	386	1112183	48956	1319	0.11860	31.07392	2.80470	0.00159	0.99972	0.00011	0.00001	0.00049	0.00037	0.00002	0.99951	0.00037	0.00002	0.00033	0.00014	0.00001	0.99967	0.00014	0.00001	0.00034	0.00015	0.00001	-0.00028	0.00031	0.00159
Galaxias moroka	1772	1124986	48636	1735	0.15422	19.39111	1.31454	0.00108	0.99968	0.00011	0.00001	0.00050	0.00032	0.00002	0.99950	0.00032	0.00002	0.00041	0.00016	0.00001	0.99959	0.00016	0.00001	0.00042	0.00017	0.00001	-0.00014	0.00027	0.00108
Galaxias olidus Timbarra	1365	1027753	47335	5960	0.57991	32.03362	2.90403	0.00168	0.99878	0.00040	0.00002	0.00095	0.00036	0.00002	0.99905	0.00036	0.00002	0.00164	0.00063	0.00002	0.99836	0.00063	0.00002	0.00167	0.00065	0.00003	0.00194	0.00173	0.00168
Galaxias cann	2666	1194778	43838	1032	0.08638	5.83437	0.13871	0.00034	0.99973	0.00011	0.00001	0.00044	0.00034	0.00002	0.99956	0.00034	0.00002	0.00032	0.00014	0.00001	0.99968	0.00014	0.00001	0.00035	0.00016	0.00001	-0.00013	0.00031	0.00034
Galaxias olidus Avon	1000	1105802	47295	1095	0.09902	7.84582	0.13092	0.00034	0.99975	0.00009	0.00001	0.00044	0.00032	0.00002	0.99956	0.00032	0.00002	0.00030	0.00012	0.00001	0.99970	0.00012	0.00001	0.00032	0.00014	0.00001	-0.00021	0.00023	0.00034
Galaxias olidus Buckwong	1769	1117360	49190	6306	0.56437	10.64326	0.44025	0.00063	0.99864	0.00044	0.00002	0.00192	0.00092	0.00003	0.99808	0.00092	0.00003	0.00182	0.00070	0.00003	0.99818	0.00070	0.00003	0.00191	0.00078	0.00003	0.00004	0.00062	0.00063
Galaxias olidus wworth	6765	1046892	48767	14668	1.40110	14.41056	0.94352	0.00095	0.99778	0.00059	0.00002	0.00310	0.00110	0.00003	0.99690	0.00110	0.00003	0.00325	0.00105	0.00003	0.99675	0.00105	0.00003	0.00337	0.00112	0.00003	0.00094	0.00139	0.00095
Galaxias olidus Tambo	759	1110082	47785	5337	0.48078	5.80619	0.15655	0.00038	0.99890	0.00034	0.00002	0.00151	0.00072	0.00003	0.99849	0.00072	0.00003	0.00151	0.00056	0.00002	0.99849	0.00056	0.00002	0.00166	0.00067	0.00002	0.00035	0.00079	0.00038
