# Variant positions
#Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Galaxias morwell	720	47.00000	0.00000	0.00000	0.98076	0.00501	0.00043	0.00440	0.00284	0.00032	0.99560	0.00284	0.00032	0.02771	0.00947	0.00059	0.97229	0.00947	0.00059	0.02801	0.00968	0.00060	0.06441	0.06456	0.00000
Galaxias terenasus	4776	6.00000	0.00000	0.00000	0.91898	0.00791	0.00079	0.00945	0.00429	0.00058	0.99055	0.00429	0.00058	0.13310	0.02007	0.00125	0.86690	0.02007	0.00125	0.14520	0.02388	0.00137	0.44669	0.24947	0.00000
Galaxias mungadhan	1724	204.00000	0.00000	0.00000	0.98674	0.00348	0.00041	0.00918	0.00201	0.00031	0.99082	0.00201	0.00031	0.01920	0.00591	0.00054	0.98080	0.00591	0.00054	0.01924	0.00594	0.00054	0.03983	0.02555	0.00000
Galaxias aequipinnis	1101	58.00000	0.00000	0.00000	0.99465	0.00187	0.00026	0.00561	0.00335	0.00035	0.99439	0.00335	0.00035	0.00692	0.00275	0.00032	0.99308	0.00275	0.00032	0.00698	0.00280	0.00032	0.00375	0.00758	0.00000
Galaxias mcdowalli	1608	31.00000	0.00000	0.00000	0.99365	0.00217	0.00028	0.01013	0.00576	0.00045	0.98987	0.00576	0.00045	0.00829	0.00310	0.00033	0.99171	0.00310	0.00033	0.00843	0.00320	0.00034	-0.00328	0.00377	0.00000
Galaxias gunaikurnai	953	24.00000	0.00000	0.00000	0.98922	0.00357	0.00035	0.01588	0.00831	0.00053	0.98412	0.00831	0.00053	0.01420	0.00532	0.00042	0.98580	0.00532	0.00042	0.01450	0.00555	0.00043	-0.00219	0.00589	0.00000
Galaxias lanceolatus	580	31.00000	0.00000	0.00000	0.99033	0.00316	0.00033	0.00782	0.00419	0.00038	0.99218	0.00419	0.00038	0.01282	0.00496	0.00042	0.98718	0.00496	0.00042	0.01303	0.00512	0.00042	0.01370	0.01676	0.00000
Galaxias yalmy	2196	14.00000	0.00000	0.00000	0.99637	0.00159	0.00023	0.00664	0.00566	0.00043	0.99336	0.00566	0.00043	0.00406	0.00180	0.00024	0.99594	0.00180	0.00024	0.00421	0.00194	0.00025	-0.00465	0.00468	0.00000
Galaxias longifundus	291	32.00000	0.00000	0.00000	0.99555	0.00177	0.00024	0.00754	0.00561	0.00042	0.99246	0.00561	0.00042	0.00532	0.00223	0.00027	0.99468	0.00223	0.00027	0.00541	0.00230	0.00027	-0.00398	0.00483	0.00000
Galaxias moroka	1400	20.00000	0.00000	0.00000	0.99366	0.00222	0.00026	0.00996	0.00608	0.00043	0.99004	0.00608	0.00043	0.00816	0.00308	0.00031	0.99184	0.00308	0.00031	0.00837	0.00324	0.00032	-0.00276	0.00498	0.00000
Galaxias olidus Timbarra	872	33.00000	0.00000	0.00000	0.97519	0.00750	0.00050	0.01753	0.00517	0.00042	0.98247	0.00517	0.00042	0.03337	0.01176	0.00063	0.96663	0.01176	0.00063	0.03389	0.01213	0.00064	0.04272	0.03213	0.00000
Galaxias cann	4004	6.00000	0.00000	0.00000	0.99286	0.00286	0.00030	0.01197	0.00968	0.00055	0.98803	0.00968	0.00055	0.00846	0.00358	0.00034	0.99154	0.00358	0.00034	0.00923	0.00426	0.00037	-0.00456	0.00873	0.00000
Galaxias olidus Avon	942	8.00000	0.00000	0.00000	0.99480	0.00199	0.00024	0.00940	0.00689	0.00045	0.99060	0.00689	0.00045	0.00638	0.00248	0.00027	0.99362	0.00248	0.00027	0.00680	0.00282	0.00029	-0.00479	0.00491	0.00000
Galaxias olidus Buckwong	1490	11.00000	0.00000	0.00000	0.96869	0.00929	0.00053	0.04500	0.01930	0.00076	0.95500	0.01930	0.00076	0.04207	0.01457	0.00066	0.95793	0.01457	0.00066	0.04408	0.01599	0.00070	-0.00112	0.01214	0.00000
Galaxias olidus wworth	4889	15.00000	0.00000	0.00000	0.95421	0.00966	0.00056	0.06713	0.01866	0.00078	0.93287	0.01866	0.00078	0.06806	0.01678	0.00074	0.93194	0.01678	0.00074	0.07041	0.01796	0.00077	0.01193	0.02202	0.00000
Galaxias olidus Tambo	828	6.00000	0.00000	0.00000	0.97466	0.00722	0.00047	0.03456	0.01465	0.00067	0.96544	0.01465	0.00067	0.03495	0.01159	0.00059	0.96505	0.01159	0.00059	0.03813	0.01379	0.00065	0.00839	0.01746	0.00000
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Galaxias morwell	720	607154	27242	2233	0.36778	46.99922	0.01988	0.00018	0.99914	0.00024	0.00002	0.00020	0.00013	0.00001	0.99980	0.00013	0.00001	0.00124	0.00046	0.00003	0.99876	0.00046	0.00003	0.00126	0.00047	0.00003	0.00289	0.00307	0.00018
Galaxias terenasus	4776	253691	12809	6117	2.41120	5.99957	0.00151	0.00008	0.99591	0.00071	0.00005	0.00048	0.00022	0.00003	0.99952	0.00022	0.00003	0.00672	0.00186	0.00009	0.99328	0.00186	0.00009	0.00733	0.00222	0.00009	0.02255	0.02216	0.00008
Galaxias mungadhan	1724	428301	20577	2540	0.59304	203.99878	0.14300	0.00058	0.99936	0.00018	0.00002	0.00044	0.00010	0.00002	0.99956	0.00010	0.00002	0.00092	0.00030	0.00003	0.99908	0.00030	0.00003	0.00092	0.00030	0.00003	0.00191	0.00130	0.00058
Galaxias aequipinnis	1101	619233	26777	645	0.10416	57.99902	0.04378	0.00027	0.99977	0.00008	0.00001	0.00024	0.00015	0.00002	0.99976	0.00015	0.00002	0.00030	0.00012	0.00001	0.99970	0.00012	0.00001	0.00030	0.00012	0.00001	0.00016	0.00033	0.00027
Galaxias mcdowalli	1608	670620	28144	940	0.14017	30.99961	0.00695	0.00010	0.99973	0.00009	0.00001	0.00042	0.00025	0.00002	0.99958	0.00025	0.00002	0.00035	0.00013	0.00001	0.99965	0.00013	0.00001	0.00035	0.00014	0.00001	-0.00014	0.00016	0.00010
Galaxias gunaikurnai	953	698603	29808	1461	0.20913	23.99931	0.01048	0.00012	0.99954	0.00016	0.00001	0.00068	0.00036	0.00002	0.99932	0.00036	0.00002	0.00061	0.00024	0.00002	0.99939	0.00024	0.00002	0.00062	0.00025	0.00002	-0.00009	0.00025	0.00012
Galaxias lanceolatus	580	666674	28528	1184	0.17760	30.99952	0.00712	0.00010	0.99959	0.00014	0.00001	0.00033	0.00018	0.00002	0.99967	0.00018	0.00002	0.00055	0.00022	0.00002	0.99945	0.00022	0.00002	0.00056	0.00023	0.00002	0.00059	0.00072	0.00010
Galaxias yalmy	2196	815229	31126	363	0.04453	13.99971	0.00175	0.00005	0.99986	0.00006	0.00001	0.00025	0.00022	0.00002	0.99975	0.00022	0.00002	0.00015	0.00007	0.00001	0.99985	0.00007	0.00001	0.00016	0.00007	0.00001	-0.00018	0.00018	0.00005
Galaxias longifundus	291	757473	31301	552	0.07287	31.99972	0.00201	0.00005	0.99982	0.00007	0.00001	0.00031	0.00023	0.00002	0.99969	0.00023	0.00002	0.00022	0.00009	0.00001	0.99978	0.00009	0.00001	0.00022	0.00010	0.00001	-0.00016	0.00020	0.00005
Galaxias moroka	1400	810773	32212	967	0.11927	19.99949	0.00457	0.00008	0.99975	0.00009	0.00001	0.00040	0.00025	0.00002	0.99960	0.00025	0.00002	0.00032	0.00013	0.00001	0.99968	0.00013	0.00001	0.00033	0.00013	0.00001	-0.00011	0.00020	0.00008
Galaxias olidus Timbarra	872	689733	29542	3409	0.49425	32.99957	0.00596	0.00009	0.99894	0.00035	0.00002	0.00075	0.00023	0.00002	0.99925	0.00023	0.00002	0.00143	0.00055	0.00003	0.99857	0.00055	0.00003	0.00145	0.00057	0.00003	0.00183	0.00145	0.00009
Galaxias cann	4004	997298	31580	700	0.07019	5.99970	0.00100	0.00003	0.99977	0.00009	0.00001	0.00038	0.00031	0.00002	0.99962	0.00031	0.00002	0.00027	0.00012	0.00001	0.99973	0.00012	0.00001	0.00029	0.00014	0.00001	-0.00014	0.00028	0.00003
Galaxias olidus Avon	942	935711	33954	743	0.07940	7.99964	0.00141	0.00004	0.99981	0.00007	0.00001	0.00034	0.00025	0.00002	0.99966	0.00025	0.00002	0.00023	0.00009	0.00001	0.99977	0.00009	0.00001	0.00025	0.00010	0.00001	-0.00017	0.00018	0.00004
Galaxias olidus Buckwong	1490	836484	32973	4299	0.51394	10.99952	0.00218	0.00005	0.99877	0.00040	0.00002	0.00177	0.00084	0.00003	0.99823	0.00084	0.00003	0.00166	0.00064	0.00003	0.99834	0.00064	0.00003	0.00174	0.00070	0.00003	-0.00004	0.00048	0.00005
Galaxias olidus wworth	4889	708690	30618	9447	1.33302	14.99962	0.00212	0.00005	0.99802	0.00050	0.00003	0.00290	0.00099	0.00004	0.99710	0.00099	0.00004	0.00294	0.00092	0.00004	0.99706	0.00092	0.00004	0.00304	0.00098	0.00004	0.00052	0.00096	0.00005
Galaxias olidus Tambo	828	895408	32847	3742	0.41791	5.99964	0.00078	0.00003	0.99907	0.00029	0.00002	0.00127	0.00058	0.00003	0.99873	0.00058	0.00003	0.00128	0.00047	0.00002	0.99872	0.00047	0.00002	0.00140	0.00056	0.00002	0.00031	0.00064	0.00003
